contig	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343
NODE_261_length_321461_cov_8.199894.30	2.014400	4.769900	2.838700	0	0	0	3.607800	0	4.968000	1.429500	0.499300	1.478000	4.136200	5.253500	3.406700	1.499900
NODE_261_length_321461_cov_8.199894.31	1.585379	4.611135	2.712776	0	0	0	4.271182	0	4.412715	1.161131	0.294858	0.892811	4.088546	4.935996	2.573148	1.534561
NODE_184_length_80_cov_17.712500	0	0	0	0	0.666667	0.666667	0	0.666667	0	0	0.666667	0	0	0	0	0
NODE_361_length_352602_cov_6.831901.29	1.658800	0.050000	0.789000	0.080000	6.071400	5.275800	0.460000	1.848100	0	2.748300	4.703900	1.520000	0	0.340000	0.129700	0
NODE_183_length_115_cov_21.330435	0	0.540541	0	0	0	0	0	0	0.540541	0.540541	0	0	0.540541	0	0	0
NODE_60_length_380_cov_14.105263	4.877772	6.417780	3.984444	0	0	0	5.762223	0	7.742225	2.666666	0.666666	2.873332	7.111112	6.217775	3.777774	3.537775
NODE_349_length_118_cov_14.542373	1.595742	0.531915	0	0	1.595745	1.063831	0	0	0	0.531915	1.063829	1.595745	0	0.531915	0.531915	0
NODE_390_length_121514_cov_8.358864.8	1.616800	4.466000	2.927600	0	0	0	3.942200	0	4.027000	1.020000	0.250000	1.150000	3.547000	4.908200	3.026500	1.327500
NODE_42_length_208_cov_4.033654	1.079135	1.039568	0.719424	0	0	0	0.359712	0	0	3.237412	0	0.359712	0.719424	0	0	2.877698
NODE_390_length_121514_cov_8.358864.2	1.838900	4.277600	2.728500	0.209800	0	0	3.855300	0	4.497000	0.897500	0.399400	1.039300	4.128800	4.887600	3.273400	1.539500
NODE_350_length_193_cov_4.865285	0.760456	0.760457	1.140684	0	0	0	0.760456	0	0.380228	1.901140	1.140687	0.380228	2.281366	0	0.380228	2.661596
NODE_390_length_121514_cov_8.358864.0	1.928900	4.577900	2.588800	0.069800	0	0	4.196400	0	4.373400	1.050000	0.370000	1.109000	3.906500	4.535500	2.968100	1.409900
NODE_322_length_13952_cov_8.311927	2.286194	3.933675	3.128226	0	0	0	3.913705	0	4.155753	1.843604	0.413636	1.539582	4.390388	4.624592	3.199546	2.955787
NODE_170_length_192_cov_9.369792	1.526719	4.190840	2.671756	0	0	0	4.942751	0	4.530531	0.381679	0	0.381679	3.435112	4.118324	3.435115	2.240458
NODE_390_length_121514_cov_8.358864.7	1.678800	4.597400	3.287200	0	0	0	3.658400	0	3.876600	0.909100	0.360000	1.228800	3.885600	4.547400	2.459400	1.689000
NODE_390_length_121514_cov_8.358864.4	2.019900	4.677300	2.857800	0	0	0	4.029100	0	3.975500	0.908500	0.399900	1.060000	4.087700	4.837700	2.795000	1.468700
NODE_390_length_121514_cov_8.358864.5	1.618700	4.687900	3.017500	0	0	0	3.996300	0	4.415300	1.179700	0.387100	1.408200	3.909800	4.718100	2.705400	1.549600
NODE_112_length_846_cov_18.049644	4.366811	9.022922	4.908290	0	0	0	6.643011	0	6.979259	1.965066	0.545851	2.719436	10.689957	7.525108	5.786028	2.183407
NODE_361_length_352602_cov_6.831901.26	1.868600	0.100000	0.828400	0.040000	6.194100	5.604400	0.490000	2.055400	0	2.964000	5.645100	1.448300	0	0.220000	0.100000	0
NODE_361_length_352602_cov_6.831901.25	1.728700	0.120000	0.618700	0.080000	6.299100	5.494100	0.290000	2.118700	0	2.904100	5.712100	1.609000	0	0.618400	0.249800	0
NODE_361_length_352602_cov_6.831901.24	1.558200	0.040000	0.889900	0.020000	6.392400	6.017300	0.509500	1.867800	0	2.639400	5.046800	1.598000	0	0.500000	0.100000	0
NODE_361_length_352602_cov_6.831901.23	1.977900	0.040000	0.690000	0.040000	6.146500	6.430800	0.510000	2.399300	0	2.978700	4.995400	1.625400	0	0.310000	0.140000	0
NODE_361_length_352602_cov_6.831901.22	1.560000	0.080000	0.939300	0	6.236200	5.721100	0.348900	2.158700	0	2.798000	4.887600	1.507300	0	0.287900	0.278400	0
NODE_361_length_352602_cov_6.831901.21	1.689000	0.099900	0.719300	0.060000	5.415100	5.206900	0.470000	1.758900	0	2.838700	5.574600	1.458100	0	0.360000	0.220000	0
NODE_361_length_352602_cov_6.831901.20	2.196400	0.060000	0.670000	0.040000	6.801800	5.595100	0.450000	2.118900	0	2.879200	5.036700	1.518900	0	0.490000	0.159100	0
NODE_182_length_395_cov_21.463291	2.989251	7.215046	5.329035	0	0	0	4.086020	0	6.000003	1.935484	0.860214	2.365591	7.905376	5.572046	4.086019	1.935487
NODE_447_length_175_cov_4.022857	0.408163	0.816327	0.816327	0	0	0	0	0	0.408163	2.448979	0.408163	0.408163	2.040814	0	0.408163	2.857147
NODE_134_length_519_cov_18.038536	3.056025	5.925304	5.241089	0	0	0	5.558572	0	7.280134	1.018676	0.339559	2.037351	7.962649	7.122243	4.923599	1.356537
NODE_331_length_113_cov_6.867257	0.459016	2.153003	2.732242	0	0	0	3.109292	0	1.639344	1.092896	0	0.546448	1.568306	1.092895	1.065574	2.644805
NODE_361_length_352602_cov_6.831901.28	1.856800	0.150000	0.768800	0.020000	6.187800	6.343300	0.359000	2.259400	0	2.718100	5.193900	1.330000	0	0.220000	0.108700	0
NODE_235_length_90026_cov_8.272466.5	1.719300	4.017800	3.355100	0	0	0	3.577700	0	4.397000	1.228900	0.150000	1.150000	3.897000	5.237900	3.016800	1.658900
NODE_235_length_90026_cov_8.272466.4	1.379900	4.686900	3.219700	0	0	0	3.686400	0	4.568100	1.018100	0.360000	1.207400	3.744700	4.416300	3.106600	1.706100
NODE_235_length_90026_cov_8.272466.7	1.937400	4.267600	3.238100	0	0	0	4.286600	0	4.286200	1.020000	0.350000	1.119100	4.037300	5.026300	2.807600	1.849400
NODE_235_length_90026_cov_8.272466.6	1.629100	4.488600	3.198700	0	0	0	3.778100	0	4.434900	1.169300	0.349200	1.278600	3.853900	4.958700	2.868200	1.666600
NODE_235_length_90026_cov_8.272466.1	1.728900	4.399500	2.489900	0	0	0	4.186100	0	4.415800	1.100000	0.390000	1.230000	4.238700	4.912300	2.976800	1.627700
NODE_101_length_153_cov_4.235294	0.896861	0	0.408072	0	0	0	0	0	0	1.345292	0.448430	1.345293	0.448430	0	1.345290	3.587450
NODE_235_length_90026_cov_8.272466.3	1.519200	4.227200	3.328200	0	0	0	3.158100	0	4.143500	1.019700	0.309200	1.290000	3.807900	4.414500	2.966300	1.697700
NODE_235_length_90026_cov_8.272466.2	1.696000	4.685400	3.097100	0	0	0	3.565100	0	4.815100	1.109300	0.320000	1.218900	4.017200	4.977800	2.978900	1.418900
NODE_329_length_397_cov_7.090680	0.856532	2.569595	3.640255	0	0	0	3.211991	0	2.355463	0.616703	0	0	3.608138	5.115628	2.340472	1.284795
NODE_235_length_90026_cov_8.272466.8	1.544373	4.264464	2.898970	0	0	0	3.829739	0	4.483360	0.840234	0.454141	1.247525	4.491684	4.999008	2.860339	1.297345
NODE_32_length_1298_cov_27.580894	7.437136	13.509504	8.984650	0	0	0	12.197368	0	12.766077	3.277780	1.088449	4.311404	12.252920	14.320171	7.664474	8.020467
NODE_68_length_189_cov_4.005291	1.544400	0.386100	1.158300	0	0	0	0.772200	0	0	0.772201	0.386100	0	1.158301	0	0.772200	3.474901
NODE_301_length_1017_cov_2.447394	0.643974	0.275989	0.183993	0	0	0	0.643974	0	0.367985	1.651334	0.091996	0	0.275989	0	0.643973	1.281507
NODE_309_length_63619_cov_8.319213.2	2.029800	4.197700	2.928400	0	0	0	3.816100	0	4.176700	0.928300	0.320000	1.289700	3.856300	4.588500	3.169000	1.680000
NODE_505_length_906976_cov_6.853119.82	1.338000	0.080000	0.808500	0.040000	6.764800	6.153200	0.320000	2.207700	0	3.078500	5.502400	1.747100	0	0.400000	0.140000	0
NODE_332_length_202_cov_7.351485	1.470591	2.522056	3.977945	0	0	0	1.735293	0	3.625002	0.367647	0.367647	1.470589	2.845588	3.974265	2.525738	0.367647
NODE_338_length_355_cov_4.014084	0.941176	0.941175	0.235294	2.588237	0	0	0.235294	0	0.470589	3.039999	0.470588	0.235294	0.705882	0	0	3.294115
NODE_505_length_906976_cov_6.853119.44	1.659200	0.060000	0.727700	0.020000	6.326100	5.664200	0.380000	2.184500	0	2.647000	5.193200	1.499000	0	0.499500	0.180000	0
NODE_254_length_191233_cov_8.270398.11	2.067900	4.644800	3.338500	0	0	0	4.284900	0	4.566100	1.246900	0.550000	1.348500	4.584300	4.404900	3.196700	2.427300
NODE_494_length_527700_cov_6.812331.0	1.748400	0.090000	1.000000	0.020000	5.865700	6.197700	0.278700	2.279000	0.020000	2.318900	5.268000	1.389600	0	0.440000	0.220000	0.060000
NODE_260_length_165083_cov_8.801846.15	1.845510	4.213490	2.995645	0	0	0	4.153892	0	4.604239	1.135089	0.303439	1.174554	4.173763	4.606741	2.764270	1.740845
NODE_227_length_17728_cov_8.145138	1.544724	4.340877	3.183054	0	0	0	3.902627	0	3.943086	1.011350	0.308968	1.481403	4.442522	4.496294	3.053824	1.695190
NODE_121_length_60582_cov_8.522333.4	2.378300	4.713500	3.606200	0	0	0	3.933400	0	4.426700	2.120000	0.658700	1.449300	4.975500	5.255100	3.366800	3.676200
NODE_121_length_60582_cov_8.522333.5	2.297878	4.494551	3.337683	0	0	0	4.189910	0	4.436345	1.912130	0.656402	1.274034	4.743330	4.951370	2.879836	2.278166
NODE_121_length_60582_cov_8.522333.0	1.630000	4.487600	3.197400	0	0	0	3.947600	0	4.184200	0.739100	0.269900	1.278100	3.586500	4.397900	2.288800	1.489300
NODE_121_length_60582_cov_8.522333.1	1.920000	4.704300	3.148500	0	0	0	3.877700	0	4.258400	0.699900	0.308800	1.028700	3.797500	5.024400	2.768100	1.668100
NODE_121_length_60582_cov_8.522333.2	1.768600	4.686800	2.607500	0	0	0	3.717000	0	4.515700	0.850000	0.229500	1.239900	3.612600	4.526300	3.089100	1.729700
NODE_121_length_60582_cov_8.522333.3	2.068500	4.797000	3.527500	0	0	0	4.296300	0	4.897200	1.558500	0.280000	1.647700	4.307600	4.516000	2.779400	2.348600
NODE_494_length_527700_cov_6.812331.15	1.849900	0.070000	0.769900	0.040000	5.867200	6.084200	0.390000	2.518500	0	2.597700	4.807400	1.329400	0	0.500000	0.120000	0
NODE_494_length_527700_cov_6.812331.4	1.309100	0.070000	0.789500	0.060000	6.333400	6.054600	0.319100	2.066900	0	3.118100	5.535500	1.238900	0	0.280000	0.179200	0
NODE_257_length_6277_cov_8.895651	2.140697	4.549708	3.510160	0	0	0	4.361740	0	4.267840	2.012918	0.532535	1.291634	3.899795	4.518196	3.213169	3.290689
NODE_172_length_348_cov_20.241379	1.870814	4.306219	2.631577	0	0	0	4.279912	0	5.679426	0.478469	0.239234	2.143542	8.110049	6.165073	3.110048	1.674643
NODE_402_length_187_cov_4.711230	0.389105	1.922179	1.945524	0	0	0	0.389105	0	0.778211	1.910505	0	0.389105	0.715953	0	0	3.891052
NODE_363_length_56311_cov_8.373550.4	1.654049	4.234664	3.172396	0	0	0	4.178806	0	4.947379	1.030768	0.353703	1.273610	4.436361	4.843414	2.691168	1.366216
NODE_330_length_637_cov_5.874411	0.848656	1.954738	0.987270	0	0	0	1.528996	0	1.980196	0.141443	0.141443	0	0.848655	1.838755	1.114568	0.565772
NODE_479_length_149_cov_4.100671	0	0.456621	0	0	0	0	0.913242	0	0.456621	1.369863	0.456621	0	1.369862	0	0.456621	3.196347
NODE_234_length_197_cov_4.279188	1.498128	1.498127	1.123595	0	0	0	0	0	0	2.996256	0	0.374532	1.123596	0	0.374532	2.996254
NODE_269_length_849_cov_6.312132	1.499457	5.103376	2.714908	0	0	0	3.808488	0	5.549510	0.652883	0.544069	0.761696	2.829162	5.099029	3.253538	2.378674
NODE_274_length_173_cov_11.838150	0.411523	1.234569	2.057611	0	0	0	3.292181	0	4.938271	0.823045	0	1.234569	2.469137	5.349804	2.057616	0
NODE_247_length_147_cov_4.074830	0.921659	0	0.460829	0	0	0	0.460829	0	0	0	0	0	0.460829	0	0.460829	1.843316
NODE_505_length_906976_cov_6.853119.80	1.499300	0.040000	0.729400	0.040000	6.564300	5.875800	0.469900	2.008900	0	2.658200	4.696100	1.478100	0	0.590000	0.149800	0
NODE_505_length_906976_cov_6.853119.83	1.458000	0.040000	0.840000	0.020000	5.684900	6.034700	0.310000	2.168500	0	3.048300	4.977300	1.229400	0	0.410000	0.220000	0
NODE_53_length_98503_cov_8.154990.8	1.914661	4.507890	2.852472	0	0	0	3.717006	0	4.745864	1.146502	0.402950	1.173208	4.127016	4.642710	2.722015	1.888170
NODE_505_length_906976_cov_6.853119.85	1.589700	0.070000	0.460000	0.060000	6.373800	5.717500	0.310000	2.205000	0	2.897400	5.132800	1.870000	0	0.370000	0.090000	0
NODE_284_length_148_cov_4.236486	0.917431	0.454128	0	0.458716	0	0	0	2.752293	0.458716	0.422018	0	2.293577	0	0.917431	3.211007	0.917431
NODE_340_length_147_cov_4.129251	1.382489	0.921658	1.382487	0	0	0	1.382490	0	0.921658	0.921659	0.460829	0.447005	0.460829	0	0.460829	0.921659
NODE_505_length_906976_cov_6.853119.86	1.607300	0.110000	0.979100	0.220000	6.614300	6.085100	0.410000	2.717700	0	2.758500	5.376300	1.279300	0	0.440000	0.299400	0.279200
NODE_53_length_98503_cov_8.154990.3	1.580000	3.987600	3.038300	0	0	0	4.004100	0	4.475000	1.079700	0.200000	1.098900	4.237900	4.567900	3.135900	1.679200
NODE_53_length_98503_cov_8.154990.2	2.015200	4.364600	2.882300	0	0	0	3.807800	0	3.957900	0.739300	0.259100	1.339800	4.084200	4.731200	2.538600	1.829800
NODE_53_length_98503_cov_8.154990.1	1.778800	4.455300	2.957700	0	0	0	4.031600	0	4.549100	1.108200	0.449000	1.210000	3.717700	5.135000	2.699500	1.728300
NODE_53_length_98503_cov_8.154990.0	1.639500	4.224900	3.278000	0	0	0	3.586600	0	3.764700	0.958700	0.389000	0.979400	4.418200	4.638400	3.138200	1.629400
NODE_53_length_98503_cov_8.154990.7	2.030000	3.735500	2.968800	0	0	0	3.457200	0	4.307800	0.790000	0.328500	0.988800	4.455000	5.165500	2.599600	1.270000
NODE_53_length_98503_cov_8.154990.6	1.799300	3.836500	2.906900	0	0	0	3.568700	0	3.706800	0.930000	0.270000	1.128800	4.489200	5.058100	2.768300	1.498400
NODE_53_length_98503_cov_8.154990.5	1.370000	4.505800	2.848800	0	0	0	4.138500	0	4.626300	1.059700	0.189100	1.180000	4.026900	4.408000	2.519400	1.449100
NODE_53_length_98503_cov_8.154990.4	1.769200	4.107400	3.497800	0	0	0	3.847100	0	4.416600	0.929400	0.310000	1.157900	3.525500	5.035500	3.118100	1.419300
NODE_505_length_906976_cov_6.853119.34	1.747800	0.080000	0.789500	0	6.522600	5.754700	0.310000	2.244700	0	2.836900	5.744000	1.028300	0	0.478800	0.188700	0
NODE_505_length_906976_cov_6.853119.35	1.628000	0.040000	0.880000	0.040000	6.208000	5.694500	0.310000	1.749800	0	2.716400	5.426100	1.629800	0	0.330000	0.140000	0
NODE_505_length_906976_cov_6.853119.36	1.668700	0.020000	0.778500	0.080000	6.303500	6.173300	0.280000	2.217800	0	2.745700	5.306500	1.188200	0	0.488900	0.080000	0
NODE_505_length_906976_cov_6.853119.37	2.048600	0.040000	0.660000	0.040000	6.200800	5.883800	0.400000	2.329100	0	2.718500	5.135900	1.347000	0	0.410000	0.230000	0
NODE_505_length_906976_cov_6.853119.30	1.388600	0.020000	0.709100	0.040000	5.987800	6.553300	0.459900	2.189100	0	2.908100	5.553500	1.599000	0	0.409900	0.149000	0
NODE_505_length_906976_cov_6.853119.31	1.490000	0.060000	0.700000	0.060000	5.933000	6.027500	0.320000	2.068900	0	2.870000	5.486700	1.259600	0	0.260000	0.279000	0
NODE_103_length_20202_cov_8.395357.1	1.800233	3.637852	3.542055	0.262851	0	0.097352	3.745523	0	4.590639	0.884151	0.252823	1.595307	4.252823	4.476445	2.927082	1.857087
NODE_103_length_20202_cov_8.395357.0	2.007700	4.942400	3.128200	0.080000	0	0	3.826100	0	4.206600	1.528800	0.420000	1.268800	4.233400	4.407300	3.177900	2.606200
NODE_275_length_149_cov_4.000000	0.913242	0.456621	1.369863	0	0	0	0.456621	0	0.456621	1.369863	0.456621	0	1.826483	0	0.456621	3.159820
NODE_505_length_906976_cov_6.853119.38	1.629400	0.090000	0.748100	0.100000	5.975200	6.089400	0.308500	2.158300	0	2.680000	4.576400	1.398400	0	0.339400	0.150000	0
NODE_505_length_906976_cov_6.853119.39	1.549300	0.050000	0.650000	0.100000	6.317600	5.703400	0.369700	1.928800	0	3.076300	4.868000	1.120000	0	0.460000	0.100000	0
NODE_354_length_192_cov_4.598958	0.381679	0	1.145040	0	0	0	0.381679	0	0.763359	3.053433	0.381679	0.381679	1.526720	0	1.526718	3.435114
NODE_390_length_121514_cov_8.358864.9	2.618700	5.825000	4.553600	0	0	0	5.404800	0	5.391000	2.446200	0.549900	1.744300	6.384700	7.329200	4.216400	2.857400
NODE_167_length_561_cov_3.935829	0.475435	1.426308	1.567351	0	0	0	1.267828	0	0.629159	0.475436	0.158479	0.792395	0.950870	1.267829	0.782884	1.098257
NODE_147_length_143_cov_4.006993	0.469484	0.938967	0.469484	0	0	0	0.938967	0	0.938967	1.877935	0	0.469484	1.873240	0	0.938967	1.408450
NODE_505_length_906976_cov_6.853119.33	1.909200	0.060000	0.720000	0.130000	5.954400	4.824800	0.369200	1.928000	0	3.216700	5.692100	1.470000	0	0.498100	0.310000	0
NODE_3_length_15564_cov_8.154202	1.763912	4.703911	2.977616	0	0	0	4.263208	0	4.468336	1.017014	0.344762	1.202507	4.039528	4.574645	2.641104	1.584879
NODE_39_length_339592_cov_8.189162.11	1.857900	4.373800	2.915300	0	0	0	3.817700	0	4.547300	1.279900	0.150000	1.299600	4.126700	4.113900	2.697900	1.859300
NODE_39_length_339592_cov_8.189162.10	2.056000	4.605900	3.107900	0	0	0	3.945100	0	4.647400	0.810000	0.610000	1.167600	3.779900	5.147600	3.065400	1.630000
NODE_39_length_339592_cov_8.189162.13	1.509100	3.844800	3.459000	0	0	0	4.135800	0	4.316500	1.248100	0.339900	1.238100	4.056500	4.366200	3.034900	1.808100
NODE_39_length_339592_cov_8.189162.12	1.787200	4.440400	2.936100	0	0	0	3.888700	0	4.816500	0.949800	0.300000	0.980000	4.124300	5.136600	2.637300	1.687600
NODE_39_length_339592_cov_8.189162.15	1.586400	4.096300	3.138700	0	0	0	3.546800	0	4.185100	1.176800	0.280000	1.359400	3.665100	4.497400	2.816800	1.528200
NODE_39_length_339592_cov_8.189162.14	1.815600	4.287300	3.207400	0	0	0	3.916100	0	4.525600	0.857300	0.280000	1.578500	3.386200	4.264900	2.836300	1.568800
NODE_39_length_339592_cov_8.189162.17	1.809000	4.352600	2.946100	0	0	0	3.718300	0	4.406000	0.770000	0.279300	1.008800	3.636600	4.825400	2.368500	1.368500
NODE_39_length_339592_cov_8.189162.16	1.597500	4.007100	3.305700	0	0	0	3.895800	0	3.715800	0.970000	0.399900	1.249000	3.815800	4.626100	2.938200	1.677600
NODE_39_length_339592_cov_8.189162.19	1.519300	4.737900	3.524100	0	0	0	3.615600	0	3.768700	0.949300	0.300000	1.138500	3.987900	4.724800	2.918500	1.519100
NODE_39_length_339592_cov_8.189162.18	2.147800	4.347500	2.885800	0	0	0	3.675100	0	4.028100	1.028900	0.359500	1.198300	4.008900	4.484100	2.918100	1.648400
NODE_179_length_197611_cov_8.217700.11	1.496000	4.256100	2.915700	0	0	0	3.656000	0	4.285200	0.958900	0.349200	1.009100	4.126000	4.835000	2.977000	1.828300
NODE_179_length_197611_cov_8.217700.10	1.839700	4.477600	3.207100	0	0	0	3.458700	0	3.779100	1.027500	0.389800	0.918800	4.735500	5.037900	2.848600	1.609900
NODE_179_length_197611_cov_8.217700.17	1.677300	4.084000	3.184700	0	0	0	4.028500	0	3.878600	1.090000	0.310000	1.079500	4.098300	4.496900	2.947200	1.647700
NODE_179_length_197611_cov_8.217700.16	1.838600	4.059300	2.947700	0	0	0	3.788300	0	4.395900	1.097700	0.289900	1.378800	3.893700	4.720000	2.665800	1.508300
NODE_179_length_197611_cov_8.217700.15	1.758300	4.586000	3.416800	0	0	0	4.025800	0	4.395300	1.149100	0.360000	1.087400	4.387400	4.576000	2.799000	1.959300
NODE_179_length_197611_cov_8.217700.14	1.899100	4.444800	3.175600	0	0	0	3.805600	0	4.535400	1.219700	0.348600	1.049600	3.439100	4.589900	2.726600	1.758700
NODE_359_length_236_cov_14.555085	0.326797	0	0.980392	0	0	0	0.653595	0	0.980391	0.326797	0	0	0.653595	0.653596	0	0.326797
NODE_363_length_56311_cov_8.373550.3	1.976900	4.432400	2.894300	0	0	0	3.986800	0	4.393400	0.969700	0.310000	1.259000	3.907000	4.805700	2.627600	1.539000
NODE_390_length_121514_cov_8.358864.1	2.538400	4.796300	3.187400	2.168000	0	0	3.929600	0	5.186900	1.878600	0.360000	1.239500	4.351600	4.484700	3.017200	2.769600
NODE_139_length_737_cov_17.924017	2.714993	8.125148	5.441144	0	0	0	8.509282	0	6.433702	1.475837	0.247831	1.723668	5.193308	8.152422	4.448573	0.991326
NODE_254_length_191233_cov_8.270398.0	1.438900	5.056200	3.207600	0	0	0	4.118500	0	4.606800	1.129500	0.250000	1.120000	4.013300	5.088500	2.866900	1.248500
NODE_390_length_121514_cov_8.358864.6	1.699200	3.636700	3.156400	0	0	0	4.435800	0	4.867200	1.089900	0.390000	1.270000	3.865000	4.699200	2.578800	1.318700
NODE_404_length_79_cov_15.430380	0	0	0	0	0	1.342281	0	0	0	0.671141	0	0	0	0	0	0
NODE_494_length_527700_cov_6.812331.39	1.758100	0.040000	0.810000	0.040000	5.864700	5.896100	0.510000	2.296400	0	2.897000	5.087300	1.588900	0	0.488600	0.120000	0
NODE_453_length_138_cov_16.963768	0	1.442307	1.442310	0	0	0	0.961539	0	0.961538	0	0	0	1.442307	0.480769	0.480769	0
NODE_361_length_352602_cov_6.831901.27	1.810000	0.100000	0.680000	0.080000	6.592500	6.211600	0.400000	2.189300	0	2.608400	4.946100	1.408900	0	0.470000	0.120000	0
NODE_64_length_358694_cov_6.830965.9	1.738600	0.020000	0.800000	0.050000	6.014800	5.617000	0.440000	2.268800	0	3.047200	5.294300	1.698600	0	0.349200	0.080000	0
NODE_64_length_358694_cov_6.830965.8	1.409300	0.180000	0.638600	0.040000	5.363100	5.691700	0.420000	2.437500	0	2.667700	4.828600	1.620000	0	0.399900	0.190000	0
NODE_309_length_63619_cov_8.319213.4	1.968700	4.946500	2.997000	0	0	0	4.257600	0	4.317900	1.569400	0.528600	1.259100	4.064600	4.492600	2.848500	2.179300
NODE_64_length_358694_cov_6.830965.5	1.872500	0.070000	0.900000	0.060000	6.312600	5.517700	0.390000	1.919300	0	2.737700	4.964800	1.608800	0	0.360000	0.160000	0
NODE_64_length_358694_cov_6.830965.4	1.969300	0.070000	0.870000	0.090000	6.335800	6.133400	0.230000	1.976700	0	2.636800	4.968700	1.306600	0	0.339900	0.140000	0
NODE_64_length_358694_cov_6.830965.7	1.848800	0.080000	0.660000	0.120000	5.445100	5.629100	0.450000	2.036000	0	2.768100	5.017200	1.459000	0	0.258000	0.220000	0
NODE_64_length_358694_cov_6.830965.6	1.639200	0.040000	0.739300	0.120000	6.565800	5.466800	0.460000	2.079400	0	2.939000	5.745300	1.598900	0	0.319500	0.190000	0
NODE_64_length_358694_cov_6.830965.1	1.576500	0.049900	0.790000	0.370000	6.747900	6.149200	0.359600	3.175900	0.010000	2.715800	5.401100	1.568100	0	0.400000	0.260000	0.290000
NODE_64_length_358694_cov_6.830965.0	1.487800	0.059100	0.689000	0.020000	6.303400	6.255400	0.230000	2.440000	0.020000	2.519100	4.794300	1.658300	0	0.360000	0.279100	0.180000
NODE_64_length_358694_cov_6.830965.3	1.680000	0.080000	0.570000	0	6.260000	5.047500	0.499800	2.308500	0	2.716200	5.426000	1.439100	0	0.310000	0.219900	0
NODE_64_length_358694_cov_6.830965.2	1.827900	0.080000	0.730000	0.160000	6.154000	5.527100	0.319300	2.208500	0	2.529900	5.355600	1.769100	0	0.300000	0.120000	0
NODE_474_length_151_cov_4.576159	0	0.452489	0.904977	0	0	0	0.452489	0	0	1.809956	0.904977	0	1.809953	0	1.357464	2.262441
NODE_494_length_527700_cov_6.812331.33	1.648300	0.080000	1.018900	0.080000	6.126900	5.575800	0.380000	2.458100	0	2.949300	5.543100	1.719200	0	0.538800	0.180000	0
NODE_9_length_28909_cov_10.362067.0	1.779000	4.278500	2.823100	0.399800	0	0.050000	4.257500	0	4.947000	1.189500	0.370000	0.979900	4.038100	5.088400	2.966900	1.746500
NODE_363_length_56311_cov_8.373550.2	1.729700	3.916500	2.958200	0	0	0	4.287400	0	4.566400	1.286300	0.449600	1.278900	4.126300	4.799000	2.737800	1.687600
NODE_64_length_358694_cov_6.830965.26	1.770000	0.080000	0.889800	0.040000	6.332100	6.119100	0.440000	2.089200	0	2.607500	5.853900	1.407100	0	0.419700	0.190000	0
NODE_363_length_56311_cov_8.373550.0	2.049700	4.582600	3.239700	0	0	0	3.514600	0	4.006600	1.319900	0.230000	1.290000	3.906500	5.104700	3.084900	1.810000
NODE_9_length_28909_cov_10.362067.1	2.991728	4.723486	4.185363	2.806418	0	0.216028	4.797360	0	4.865800	2.638865	0.589651	1.557668	5.522791	4.413565	3.154119	3.684439
NODE_361_length_352602_cov_6.831901.18	1.547900	0.040000	0.569000	0.080000	6.203900	5.662800	0.458800	2.057000	0	2.570000	5.132400	1.508000	0	0.400000	0.100000	0
NODE_361_length_352602_cov_6.831901.19	2.015800	0.100000	0.900000	0	5.886400	5.575300	0.539300	2.327200	0	3.114300	5.604400	1.718100	0	0.499400	0.259700	0
NODE_29_length_44540_cov_9.429951.3	2.230117	5.066739	3.647501	0	0	0	4.351748	0	4.827725	1.531828	0.342231	1.298221	4.664888	5.032990	3.008352	2.216154
NODE_29_length_44540_cov_9.429951.2	2.716900	5.218600	3.607200	0	0	0	3.996700	0	4.797500	3.179400	0.770000	1.508700	4.924600	4.254900	3.564600	4.146500
NODE_29_length_44540_cov_9.429951.1	2.258300	4.988600	3.198400	0	0	0	3.565800	0	4.268500	2.740000	0.570000	1.366900	4.895400	4.835200	3.426900	4.108300
NODE_29_length_44540_cov_9.429951.0	2.027900	5.076300	3.653900	0	0	0	4.475300	0	4.737900	2.168800	0.700000	1.458700	4.274900	4.467800	3.147200	3.525100
NODE_361_length_352602_cov_6.831901.12	1.758600	0.100000	0.838800	0.120000	6.718400	6.405000	0.548600	1.989200	0	2.857800	5.166000	1.727700	0	0.300000	0.160000	0
NODE_361_length_352602_cov_6.831901.13	1.368900	0.040000	0.939100	0.060000	5.571800	5.528000	0.520000	2.107000	0	2.607800	5.324000	1.487800	0	0.349700	0.200000	0
NODE_361_length_352602_cov_6.831901.10	1.659100	0.060000	0.660000	0.199100	6.333800	5.815200	0.240000	1.819500	0	2.837700	5.444600	1.438900	0	0.350000	0.250000	0
NODE_361_length_352602_cov_6.831901.11	1.847500	0.080000	0.919000	0.080000	6.506700	5.917100	0.330000	1.988800	0	2.949200	5.212600	1.378800	0	0.348100	0.200000	0
NODE_216_length_305319_cov_6.901228.25	1.569700	0.040000	0.986600	0.090000	6.206300	6.242800	0.458600	2.219900	0.010000	2.879300	6.098300	1.607400	0	0.608800	0.200000	0.090000
